id,content,metadata,embedding
28,"### Сценарий 1 — Экстренная ситуация / გადაუდებელი შემთხვევა

**INPUT (пример / მაგალითი):**  
«У моей кошки кровь из уха, что делать?»

**RU**  
Очень жаль слышать 😿. Это может быть серьёзно.  
Пожалуйста, срочно позвоните по номеру **511252470**, чтобы мы могли помочь как можно быстрее.

**KA**  
ძალიან ვწუხვარ 😿. ეს შესაძლოა სერიოზული იყოს.  
გთხოვთ, სასწრაფოდ დარეკოთ **511252470**–ზე, რომ დროულად დაგეხმაროთ.

**Комментарий / შენიშვნა:** в экстренном сценарии не уходим в бронирование.","{""lang"": ""multi"", ""slug"": ""scenario_emergency"", ""section"": ""scenario"", ""service"": ""emergency""}",
29,"### Сценарий 2 — Консультация (обычная / у главврача)

**INPUT (пример):** «Здравствуйте! Хотел бы записаться на консультацию для собаки.»

**RU — Этап 1 (интерес + цена)**  
Консультация — **50 GEL** 🐾. Если хотите у главного врача — **80 GEL**.  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **вид животного**, **возраст**, **кратко симптомы**.  
Подскажите удобный день и время — проверю свободные окна.

**KA — ეტაპი 1 (ინტერესი + ფასი)**  
კონსულტაცია — **50 ლარი** 🐾. მთავარი ექიმი — **80 ლარი**.  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **სახეობა**, **ასაკი**, **სიმპტომები მოკლედ**.  
მითხარით მოსახერხებელი დღე/საათი — შევამოწმებ თავისუფალ ფანჯარას.

**Этап 2 — Выбор времени (slot_status)**  
• Если свободно → подтверждаем выбранный слот.  
• Если занято → предлагаем альтернативы (+30м / +60м).

**Фразы подтверждения**  
RU: «Отлично, записываю вас на {DD-MM} в {HH:mm} 🐾.»  
KA: «კარგია, {DD-MM} {HH:mm}–ზე ჩაგწერთ 🐾.»

**Этап 3 — Дособор данных (≤4)**  
При необходимости доспросить недостающее из списка выше.

**Этап 4 — Телефон и подтверждение**  
RU: «Оставьте, пожалуйста, номер 📞 — после номера оформлю запись и пришлю подтверждение.»  
KA: «გთხოვთ, მოგვაწოდოთ ტელეფონის ნომერი 📞 — ნომრის შემდეგ დავაფიქსირებ ჯავშანს და გამოგიგზავნით დადასტურებას.»","{""lang"": ""multi"", ""slug"": ""scenario_consultation"", ""section"": ""scenario"", ""service"": ""consultation""}",
30,"### Сценарий 3 — Грумინგ / გრუმინგი

**INPUT (пример):** «Здравствуйте! Хотел бы записаться на груминг.»

**RU — Этап 1 (интерес + цена)**  
Груминг — **50–100 GEL** ✂️🐾 (зависит от размера и веса).  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **порода/размер (мал/сред/круп)**, **вес (კг)**.  
Какой день и время удобно — подберу окно.

**KA — ეტაპი 1 (ინტერესი + ფასი)**  
გრუმინგი — **50–100 ლარი** ✂️🐾 (ზომასა და წონაზეა დამოკიდებული).  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **ჯიში/ზომა (პატარა/საშუალო/დიდი)**, **წონა (კგ)**.  
მითხარით თქვენთვის მოსახერხებელი დრო — შევარჩევთ თავისუფალ სლოტს.

**Этап 2 — Выбор времени**  
• Свободно → подтверждаем. • Занято → альтернативы (+30м / +60м).

**Фразы подтверждения**  
RU: «Отлично, записываю на {DD-MM} {HH:mm} ✂️🐾.»  
KA: «კარგია, ჩაგწერთ {DD-MM} {HH:mm}–ზე ✂️🐾.»

**Этап 3 — Дособор данных (≤4)**  
Если что-то не указано (например, для кошки — возраст/тип шерсти) — спросить.

**Этап 4 — Телефон и подтверждение**  
RU: «Номер 📞, пожалуйста. Всё верно? Подтвердить?»  
KA: «ტელეფონის ნომერი 📞, გთხოვთ. ყველაფერი სწორადაა? დავადასტურო?»","{""lang"": ""multi"", ""slug"": ""scenario_grooming"", ""section"": ""scenario"", ""service"": ""grooming""}",
31,"### Сценарий 4 — Вакцинация (в т.ч. от бешенства)

**INPUT (пример):** «Хочу привить собаку / Нужна вакцина от бешенства.»

**RU — Этап 1 (интерес + цена)**  
Вакцина — **60 GEL**, от бешенства — **30 GEL**.  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **вид/возраст**, **ветпаспорт есть?**, **дата последней прививки**.  
Какой день/время удобно — проверю слоты.

**KA — ეტაპი 1 (ინტერესი + ფასი)**  
ვაქცინაცია — **60 ლარი**, ცოფის ვაქცინა — **30 ლარი**.  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **სახეობა/ასაკი**, **ვეტპასპორტი გაქვთ?**, **ბოლო ვაქცინის თარიღი**.  
მითხარით მოსახერხებელი დრო — შევამოწმებ სლოტებს.

**Этап 2 — Выбор времени → подтвердить/предложить альтернативы.**

**Этап 3 — Дособор данных (≤4)**  
При необходимости уточнить самочувствие დღეს.

**Этап 4 — Телефон и подтверждение**  
RU: «Номер 📞, пожалуйста. Записываю: вакцинация {вид}, {DD-MM} {HH:mm}. Верно?»  
KA: «ტელეფონის ნომერი 📞. ვწერ: ვაქცინაცია {სახეობა}, {DD-MM} {HH:mm}. სწორია?»","{""lang"": ""multi"", ""slug"": ""scenario_vaccination"", ""section"": ""scenario"", ""service"": ""vaccination""}",
32,"### Сценарий 5 — Консультация у главного врача

**INPUT:** «Хотим именно к главному врачу.»

**RU — Этап 1**  
Консультация главврача — **80 GEL**.  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **вид/возраст/вес**, **кратко симптомы**, **были ли обследования**.  
Какой день/время удобно?

**KA — ეტაპი 1**  
მთავარი ექიმის კონსულტაცია — **80 ლარი**.  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **სახეობა/ასაკი/წონა**, **სიმპტომები მოკლედ**, **გატარებული კვლევები**.  
რომელი დღე/საათი გსურთ?

**Этап 2 — Выбор времени → подтвердить/альтернативы.**

**Этап 3 — Дособор данных (≤4)**  
При необходимости уточнить детали შემთხვევის.

**Этап 4 — Телефон и подтверждение**  
RU: «Номер 📞. Записываю к главврачу на {DD-MM} {HH:mm}. Подтверждаем?»  
KA: «ტელეფონის ნომერი 📞. მთავარ ექიმთან ჩაგწერთ {DD-MM} {HH:mm}–ზე. დავადასტუროთ?»","{""lang"": ""multi"", ""slug"": ""scenario_head_doctor"", ""section"": ""scenario"", ""service"": ""head_doctor_consultation""}",
33,"### Сценарий 6 — მიკროჩიპი და/ან ვეტპასპორტი

**INPUT:** «Нужно поставить чип / оформить ветпаспорт.»

**RU — Этап 1**  
Микрочип — **50 GEL**, ветпаспорт — **25 GEL**. Можно вместе за один визит.  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **что нужно (чип/паспорт/оба)**, **вид**, **кличка**.  
Когда удобно?

**KA — ეტაპი 1**  
მიკროჩიპი — **50 ლარი**, ვეტპასპორტი — **25 ლარი**. შესაძლებელია ერთ ვიზიტში ორივე.  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **რას ითხოვთ (ჩიპი/პასპორტი/ორივე)**, **სახეობა**, **სახელი**.  
რომელი დრო სჯობნით?

**Этап 2 — Выбор времени.**

**Этап 3 — Дოსбор данных (≤4)**  
თუ საჭიროა — ასაკი; უკვე გაქვთ პასპორტი?

**Этап 4 — Телефон и подтверждение**  
RU: «Номер 📞. Записываю: чип/паспорт на {DD-MM} {HH:mm}. Верно?»  
KA: «ტელეფონის ნომერი 📞. ვწერ: ჩიპი/პასპორტი {DD-MM} {HH:mm}–ზე. სწორია?»","{""lang"": ""multi"", ""slug"": ""scenario_chip_passport"", ""section"": ""scenario"", ""service"": ""chip_or_passport""}",
34,"### Сценарий 7 — Документы для поездок (справка о здоровье)

**INPUT:** «Нужна справка для выезда.»

**RU — Этап 1 (объяснение + цена)**  
Справка о здоровье — **100 GEL**. Выдаём в клинике; затем в Минсельхозе меняют на лицензию.  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **страна и дата вылета**, **актуальность прививки от бешенства**, **наличие чипа/паспорта**.  
Какой день/время удобно?

**KA — ეტაპი 1**  
ცნობა ჯანმრთელობის შესახებ — **100 ლარი**. კლინიკაში გავცემთ; შემდეგ მფლობელი ცვლის ექსპორტის ლიცენზიაზე.  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **ქვეყანა და გამგზავრების თარიღი**, **ცოფის ვაქცინა აქტუალურია?**, **ჩიპი/პასპორტი გაქვთ?**  
რომელი დრო გესავთ?

**Этап 2 — Выбор времени.**

**Этап 3 — დოსбор (≤4)**  
საჭიროა თუ არა დამატებითი ანალიზები.

**Этап 4 — Телефон и подтверждение**  
RU: «Номер 📞. Записываю: справка {DD-MM} {HH:mm}. Подтверждаем?»  
KA: «ტელეფონის ნომერი 📞. ვწერ: ცნობა {DD-MM} {HH:mm}–ზე. დავადასტუროთ?»","{""lang"": ""multi"", ""slug"": ""scenario_travel_docs"", ""section"": ""scenario"", ""service"": ""travel_certificate""}",
35,"### Сценарий 8 — ეხოსკოპია (мочевой пузырь / беременность)

**INPUT:** «Нужно УЗИ мочевого / проверить беременность.»

**RU — Этап 1 (интерес + цена)**  
Эхоскопия — **50 GEL**.  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **тип (мочевой/беременность)**, **вид/возраст/вес**.  
Скажите удобный день/время — подберу окно.

**KA — ეტაპი 1**  
ექოსკოპია — **50 ლარი**.  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **ტიპი (შარდის ბუშტი/ორსულობა)**, **სახეობა/ასაკი/წონა**.  
მითხარით მოსახერხებელი დრო — შევარჩევ ფანჯარას.

**Этап 2 — Выбор времени.**

**Этап 3 — Подготовка და დოსбор (≤4)**  
შარდის ბუშტისთვის სასურველია სავსე (~1–2სთ არ გამოუშვათ/არ გაიყვანოთ); ორსულობაზე — სავარაუდო ვადა.

**Этап 4 — Телефон и подтверждение**  
RU: «Номер 📞. Записываю: эхоскопия {тип}, {DD-MM} {HH:mm}. Верно?»  
KA: «ტელეფონის ნომერი 📞. ვწერ: ექოსკოპია {ტიპი}, {DD-MM} {HH:mm}. სწორია?»","{""lang"": ""multi"", ""slug"": ""scenario_ultrasound"", ""section"": ""scenario"", ""service"": ""ultrasound""}",
36,"### Сценарий 9 — ლაბორატორია (анализы)

**INPUT:** «Нужно сдать общий/биохимия/элექტროლиты.»

**RU — Этап 1 (интерес + цены)**  
Общий — **30 GEL**, биохимия — **150 GEL**, электролиты — **70 GEL**.  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **какие анализы**, **drop-off или забор**, **натощак?**  
Когда удобно подойти?

**KA — ეტაპი 1**  
ზოგადი — **30 ლარი**, ბიოქიმია — **150 ლარი**, ელექტროლიტები — **70 ლარი**.  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **რა ანალიზები**, **ნიმუშის მოტანა თუ ადგილზე აღება**, **ნათოშაკზე?**  
რომელ დროს მოხვალთ?

**Этап 2 — Выбор времени.**  
• Если drop-off — короткое окно. • Если забор крови — ჩვეულებრივი სლოტი.

**Этап 3 — დოსбор (≤4)**  
ლექარствები ბოლო დღეებში და სხვა.

**Этап 4 — Телефон и подтверждение**  
RU: «Номер 📞. Записываю: анализы {перечень}, {DD-MM} {HH:mm}. Верно?»  
KA: «ტელეფონის ნომერი 📞. ვწერ: ანალიზები {სია}, {DD-MM} {HH:mm}. სწორია?»","{""lang"": ""multi"", ""slug"": ""scenario_labs"", ""section"": ""scenario"", ""service"": ""lab_tests""}",
37,"### Сценарий 10 — სტომატოლოგია (осмотр / лечение)

**INPUT:** «Нужно записать собаку на чистку зубов / болит зуб.»

**RU — Этап 1 (объяснение + цена)**  
Стоматология — **от 250 GEL**. Обычно сначала делаем осмотр и план.  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **вид/возраст/вес**, **проблема (камень/запах/боль/кровоточивость)**, **реакции на наркоз ранее**.  
Когда удобно подойти на осмотр?

**KA — ეტაპი 1**  
სტომატოლოგიური სერვისი — **250 ლარიდან**. ჩვეულებრივ, ჯერ შემოწმება და გეგმაა.  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **სახეობა/ასაკი/წონა**, **პრობლემა (ქვა/სუნი/ტკივილი/სისხლდენა)**, **ადრე ნარკოზზე რეაქცია**.  
რომელი დრო გსურთ შემოწმებისთვის?

**Этап 2 — Выбор времени.**

**Этап 3 — დოსбор (≤4)**  
Подготовку обсудим на осмотре.

**Этап 4 — Телефон и подтверждение**  
RU: «Номер 📞. Записываю: стоматологический осмотр {DD-MM} {HH:mm}. Верно?»  
KA: «ტელეფონის ნომერი 📞. ვწერ: სტომატოლოგიური შემოწმება {DD-MM} {HH:mm}–ზე. სწორია?»","{""lang"": ""multi"", ""slug"": ""scenario_dentistry"", ""section"": ""scenario"", ""service"": ""dentistry""}",
38,"### Сценарий 11 — ჰოსპიტალიზაცია (24ч)

**INPUT:** «Сказали положить кота на наблюдение.»

**RU — Этап 1 (объяснение + цена)**  
Госпитализация (24ч) — **50 GEL**. Примем и разместим под наблюдением.  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **кратко диагноз/повод**, **лекарства/аллергии**, **контактное лицо/инструкции**.  
Когда удобно подъехать сегодня 11:00–20:00?

**KA — ეტაპი 1**  
ჰოსპიტალიზაცია (24სთ) — **50 ლარი**. მივიღებთ და დაკვირვების ქვეშ დავაბინავებთ.  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **დიაგნოზი/მიზეზი მოკლედ**, **მედიკამენტები/ალერგიები**, **საკონტაქტო პირი/ინსტრუქციები**.  
დღეს როდის შეძლებთ მოსვლას 11:00–20:00?

**Этап 2 — Выбор времени.**

**Этап 3 — დოსбор (≤4)**  
Если звучит как экстренное — сразу дать телефон.

**Этап 4 — Телефон и подтверждение**  
RU: «Номер 📞. Записываю: госпитализация — приезд {DD-MM} {HH:mm}. Подтверждаем?»  
KA: «ტელეფონის ნომერი 📞. ვწერ: ჰოსპიტალიზაცია — მოსვლა {DD-MM} {HH:mm}–ზე. დავადასტუროთ?»","{""lang"": ""multi"", ""slug"": ""scenario_hospitalization"", ""section"": ""scenario"", ""service"": ""hospitalization""}",
39,"### Сценарий 12 — „პაკეტი“: вакцинация + чიპი/პასპორტი за один визит

**INPUT:** «Хотим за один раз привить и поставить чип/оформить паспорт.»

**RU — Этап 1 (подтверждение + цены)**  
Можно объединить: вакцина **60 GEL** (или бешенство **30 GEL**) + чип **50 GEL** + паспорт **25 GEL**.  
Начну подбирать время. Параллельно уточню пару деталей (2–3 пункта) — так быстрее всё оформим. — **вид/возраст**, **паспорт есть?**, **дата прошлых прививок**.  
Какой день/время удобно?

**KA — ეტაპი 1**  
შეგვიძლია გავაკეთოთ ერთ ვიზიტში: ვაქცინა **60 ლარი** (ან ცოფი **30 ლარი**) + ჩიპი **50 ლარი** + პასპორტი **25 ლარი**.  
დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ. — **სახეობა/ასაკი**, **პასპორტი გაქვთ?**, **ბოლო ვაქცინის თარიღი**.  
რომელი დრო გსურთ?

**Этап 2 — Выбор времени.**

**Этап 3 — დოსბორ (≤4)**  
თუ ჯერ არ თქვით — მზად ხართ ერთ ვიზიტში ყველაფერზე?

**Этап 4 — Телефон и подтверждение**  
RU: «Номер 📞. Записываю: вакцина + чип/паспорт на {DD-MM} {HH:mm}. Верно?»  
KA: «ტელეფონის ნომერი 📞. ვწერ: ვაქცინა + ჩიპი/პასპორტი {DD-MM} {HH:mm}–ზე. სწორია?»","{""lang"": ""multi"", ""slug"": ""scenario_combo_vax_chip"", ""section"": ""scenario"", ""service"": ""vax_plus_chip_or_passport""}",
40,"# Правила сценариев (для ассистента)

**Назначение:** единые короткие правила, чтобы все сценарии (консультация, грумინგ, вакцинация и т.д.) вели себя одинаково и предсказуемо.

## 1) Когда запускать подбор времени
- Если у клиента *явное намерение записаться* → начинаем подбирать время **сейчас**.
- Если клиент спрашивает только информацию (цены/адрес/условия) → отвечаем и **не навязываем** запись.

**Фразы (RU/KA):**
- RU: *«Начну подбор времени. Параллельно задам 2–3 детали, чтобы оформить быстрее.»*
- KA: *«დავიწყებ დროის შერჩევას. პარალელურად რამდენიმე დეტალს (2–3 პუნქტს) გკითხავთ, რომ ჯავშანი უფრო სწრაფად გავაკეთოთ.»*

## 2) Как подбирать время
- Рабочие часы: **11:00–20:00 Asia/Tbilisi**. Шаг слота: **30 мин** (или по CONFIG).
- Если названо *конкретное время* → сначала `cal_check_availability(start,end)`.
    - Свободно → подтверждаем и переходим к п.3 (сбор деталей).
    - Занято → предлагаем **2–3 альтернативы**: вперёд шагом 30м до 20:00, затем назад к 11:00.
- Если дана *только дата/интервал* → просканировать день 11:00–19:30 шагом 30м, предложить 2–3 ближайших свободных.
- «Да/Ок/კი/კარგია» без нового времени = подтверждение `last_proposed_iso`.

## 3) Сбор деталей (≤4 вопроса суммарно)
- Спросить **2–3 ключевые детали** по услуге (см. подсказки ниже). Не повторять уже известное.
- Примеры по услугам:
  - **Грумინგ**: вид/порода, *размер* (мал/сред/круп), *вес* (кг).
  - **Консультация**: вид, возраст, основные симптомы (для собаки — порода).
  - **Главврач**: вид, возраст, вес; кратко симптомы; были ли обследования.
  - **Вакцинация/бешенство**: вид/возраст; ветпаспорт есть? (если нет — оформим, 25 GEL); дата последней прививки; самочувствие.
  - **Микрочип/паспорт**: что именно нужно (чип/паспорт/оба); вид, кличка, возраст.
  - **Комбо: вакцина + (чип или паспорт)**: вид/возраст; паспорт есть?; дата прошлых прививок; согласны сделать за один визит.
  - **УЗИ**: тип (мочевой/беременность); подготовка для мочевого — полный пузырь (~1–2ч); при беременности — предполагаемые недели.
  - **Лаборатория**: какие анализы; drop‑off или забор в клинике; натощак?; лекарства в последние дни.
  - **Стоматология**: вид/возраст/вес; проблема (камень/запах/боль/кровоточивость); реакции на наркоз ранее.
  - **Госпитализация**: причина/диагноз кратко; лекарства/аллергии; контактное лицо/инструкции.
  - **Документы для поездок**: страна и дата выезда; актуальна ли прививка от бешенства; есть ли чип и паспорт.
- Максимум **4 уточняющих** подряд. Если инфо недостаточно — фиксируем, что известно, и двигаемся дальше.

## 4) Телефон и создание записи
- Телефон спрашиваем по CONFIG (`booking.ask_phone_stage`), но **создавать запись можно только если phone есть**.
- Перед созданием ещё раз проверить слот через `cal_check_availability` и затем вызвать `cal_create_event(...)`.
- Нельзя писать «записал/готово/ჩაგწერეთ/confirmed», если **в ответе нет** `message.event_id` от `cal_create_event`.

## 5) Перенос / отмена / детали
- Перенос: только `cal_update_event(event_id, start,end, ...)`.
- Отмена: `cal_delete_event(event_id)` и статус `cancelled`.
- Доп. детали после записи: `cal_update_event(description=...)`. Новое событие **не создавать**.

## 6) Прочее
- Вне часов: не предлагаем слоты, даём ближайшие варианты по правилам.
- Экстренное: **сразу телефон 511 252 470**, не тратим время на бронь.
- Язык: автоматически переключаемся (RU/KA/EN), сохраняя контекст.
- Факты (адрес/часы/цены) берём только из knowledge (`section:info` / `section:services`). Сценарии — `section:scenario`.
","{""lang"": ""multi"", ""slug"": ""scenario_rules_v1"", ""section"": ""scenario_rules""}",